ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-11-13 00:00:00+00:00,35,1,42542392,181.5,203.0,181.5,203.0,3,ESZ5 P6975
2025-11-13 00:00:00+00:00,35,1,42427505,1816.0,1816.0,1816.0,1816.0,2,ESH6 C5100
2025-11-13 00:00:00+00:00,35,1,42640078,30.25,50.5,30.25,44.75,48,ESZ5 P6375
2025-11-13 00:00:00+00:00,35,1,42427498,27.0,27.0,27.0,27.0,2,ESH6 P5100
2025-11-13 00:00:00+00:00,35,1,42485321,285.0,322.75,284.5,322.75,27,ESH6 P6950
2025-11-13 00:00:00+00:00,35,1,42735132,90.25,120.25,89.75,120.25,25,ESZ5 P6710
2025-11-13 00:00:00+00:00,35,1,42439504,78.25,78.25,78.25,78.25,9,ESU6 P5050
2025-11-13 00:00:00+00:00,35,1,42430443,23.25,23.25,23.25,23.25,1,ESH6 C7600
2025-11-13 00:00:00+00:00,35,1,518145,22.25,42.75,22.25,38.0,584,ESZ5 P6300
2025-11-13 00:00:00+00:00,35,1,42487785,120.5,120.5,80.0,83.0,144,ESZ5 C6875
2025-11-13 00:00:00+00:00,35,1,273809,218.75,276.25,218.75,276.25,2,ESZ5 P7000
2025-11-13 00:00:00+00:00,35,1,81355,7.65,7.65,7.65,7.65,24,ESZ6 C9500
2025-11-13 00:00:00+00:00,35,1,228807,88.75,88.75,88.75,88.75,25,ESZ7 P4000
2025-11-13 00:00:00+00:00,35,1,418234,6.3,11.25,6.3,10.0,3886,ESZ5 P5600
2025-11-13 00:00:00+00:00,35,1,273004,352.25,352.25,324.5,324.5,14,ESZ5 C6500
2025-11-13 00:00:00+00:00,35,1,42683686,131.75,131.75,131.75,131.75,1,ESM7 C8500
2025-11-13 00:00:00+00:00,35,1,42435330,263.5,265.25,263.5,265.25,17,ESM6 C7050
2025-11-13 00:00:00+00:00,35,1,42387473,2.95,3.85,2.95,3.85,183,ESZ5 P5050
2025-11-13 00:00:00+00:00,35,1,725964,190.25,196.25,190.25,196.25,20,ESZ6 P5700
2025-11-13 00:00:00+00:00,35,1,42429382,70.5,70.5,70.5,70.5,1,ESU6 P4950
2025-11-13 00:00:00+00:00,35,1,42621225,9.2,9.2,4.55,4.6,83,ESZ5 C7275
2025-11-13 00:00:00+00:00,35,1,42507152,1.1,1.1,1.1,1.1,1,ESZ5 P3850
