ts_recv,ts_event,rtype,publisher_id,instrument_id,ts_ref,price,quantity,sequence,ts_in_delta,stat_type,channel_id,update_action,stat_flags,symbol
2025-11-13T01:05:07.311264577Z,2025-11-13T01:05:07.311171373Z,24,1,42140864,,6988.750000000,9223372036854775807,38779838,12733,8,0,1,0,ESM6
2025-11-13T01:05:07.312602386Z,2025-11-13T01:05:07.311732143Z,24,1,294973,,6875.250000000,9223372036854775807,38779849,13181,5,0,1,0,ESZ5
2025-11-13T01:05:07.313116427Z,2025-11-13T01:05:07.312400619Z,24,1,42140878,,6935.500000000,9223372036854775807,38779867,14902,8,0,1,0,ESH6
2025-11-13T01:05:07.313169870Z,2025-11-13T01:05:07.312625363Z,24,1,294973,,6875.000000000,9223372036854775807,38779870,14772,8,0,1,0,ESZ5
2025-11-13T01:05:07.313978915Z,2025-11-13T01:05:07.313214739Z,24,1,42140864,,6989.250000000,9223372036854775807,38779877,14963,8,0,1,0,ESM6
2025-11-13T01:05:07.314167418Z,2025-11-13T01:05:07.313336885Z,24,1,10252,,7057.000000000,9223372036854775807,38779878,17163,8,0,1,0,ESZ6
2025-11-13T01:05:07.314568754Z,2025-11-13T01:05:07.313372563Z,24,1,294973,,6875.250000000,9223372036854775807,38779881,17846,8,0,1,0,ESZ5
2025-11-13T01:05:07.314568754Z,2025-11-13T01:05:07.313588835Z,24,1,294973,,6875.500000000,9223372036854775807,38779881,17846,5,0,1,0,ESZ5
2025-11-13T01:05:07.314868727Z,2025-11-13T01:05:07.314165903Z,24,1,42140864,,6989.500000000,9223372036854775807,38779888,17841,8,0,1,0,ESM6
2025-11-13T01:05:07.315870362Z,2025-11-13T01:05:07.315751139Z,24,1,42140870,,7012.750000000,9223372036854775807,38779913,11738,8,0,1,0,ESU6
2025-11-13T01:05:07.318434756Z,2025-11-13T01:05:07.318342699Z,24,1,42140878,,6936.000000000,9223372036854775807,38779961,12749,8,0,1,0,ESH6
2025-11-13T01:05:07.554773383Z,2025-11-13T01:05:07.554686235Z,24,1,42140864,,6989.750000000,9223372036854775807,38780514,11446,8,0,1,0,ESM6
2025-11-13T01:05:09.719082905Z,2025-11-13T01:05:09.718989957Z,24,1,42140864,,6990.000000000,9223372036854775807,38781463,11473,8,0,1,0,ESM6
2025-11-13T01:05:33.168279214Z,2025-11-13T01:05:33.168170203Z,24,1,42140878,,6936.250000000,9223372036854775807,38786195,13847,8,0,1,0,ESH6
2025-11-13T01:05:34.151809332Z,2025-11-13T01:05:34.151711331Z,24,1,294973,,6875.500000000,9223372036854775807,38786372,11472,8,0,1,0,ESZ5
2025-11-13T01:05:34.264063556Z,2025-11-13T01:05:34.263791755Z,24,1,294973,,6875.750000000,9223372036854775807,38786409,11500,5,0,1,0,ESZ5
2025-11-13T01:05:39.148028723Z,2025-11-13T01:05:39.147770409Z,24,1,294973,,6875.750000000,9223372036854775807,38787168,11401,8,0,1,0,ESZ5
2025-11-13T01:05:39.148194011Z,2025-11-13T01:05:39.148034501Z,24,1,42140878,,6936.500000000,9223372036854775807,38787182,12187,8,0,1,0,ESH6
2025-11-13T01:05:39.314275870Z,2025-11-13T01:05:39.313902819Z,24,1,294973,,6876.000000000,9223372036854775807,38787255,12263,5,0,1,0,ESZ5
2025-11-13T01:05:39.492871627Z,2025-11-13T01:05:39.492771129Z,24,1,42140878,,6936.750000000,9223372036854775807,38787345,13574,8,0,1,0,ESH6
2025-11-13T01:05:39.849040811Z,2025-11-13T01:05:39.848903565Z,24,1,294973,,6876.000000000,9223372036854775807,38787386,11333,8,0,1,0,ESZ5
2025-11-13T01:05:40.147210785Z,2025-11-13T01:05:40.146960517Z,24,1,294973,,6876.250000000,9223372036854775807,38787562,11744,5,0,1,0,ESZ5
2025-11-13T01:05:40.503610726Z,2025-11-13T01:05:40.503460923Z,24,1,294973,,6876.250000000,9223372036854775807,38787649,11810,8,0,1,0,ESZ5
2025-11-13T01:05:40.503817684Z,2025-11-13T01:05:40.503616359Z,24,1,42140878,,6937.000000000,9223372036854775807,38787670,11589,8,0,1,0,ESH6
2025-11-13T01:05:40.539663620Z,2025-11-13T01:05:40.539368833Z,24,1,294973,,6876.500000000,9223372036854775807,38787733,12594,5,0,1,0,ESZ5
2025-11-13T01:05:40.600196711Z,2025-11-13T01:05:40.600118127Z,24,1,42140864,,6990.250000000,9223372036854775807,38787758,11252,8,0,1,0,ESM6
2025-11-13T01:05:41.572757870Z,2025-11-13T01:05:41.572670043Z,24,1,42140878,,6937.250000000,9223372036854775807,38787875,11704,8,0,1,0,ESH6
2025-11-13T01:05:41.573622316Z,2025-11-13T01:05:41.573521351Z,24,1,294973,,6876.500000000,9223372036854775807,38787881,11544,8,0,1,0,ESZ5
2025-11-13T01:05:41.746354949Z,2025-11-13T01:05:41.746258721Z,24,1,42140878,,6937.500000000,9223372036854775807,38787969,13642,8,0,1,0,ESH6
2025-11-13T01:05:42.083706717Z,2025-11-13T01:05:42.083361073Z,24,1,294973,,6876.750000000,9223372036854775807,38788026,12641,5,0,1,0,ESZ5
2025-11-13T01:05:42.138619902Z,2025-11-13T01:05:42.138525831Z,24,1,42140864,,6990.500000000,9223372036854775807,38788039,11590,8,0,1,0,ESM6
2025-11-13T01:05:43.180724607Z,2025-11-13T01:05:43.180578719Z,24,1,294973,,6876.750000000,9223372036854775807,38788120,11497,8,0,1,0,ESZ5
2025-11-13T01:05:43.180948459Z,2025-11-13T01:05:43.180741855Z,24,1,42140864,,6990.750000000,9223372036854775807,38788142,11421,8,0,1,0,ESM6
2025-11-13T01:05:43.181946131Z,2025-11-13T01:05:43.181857711Z,24,1,42140864,,6991.000000000,9223372036854775807,38788163,13235,8,0,1,0,ESM6
2025-11-13T01:05:43.303804521Z,2025-11-13T01:05:43.303537943Z,24,1,294973,,6877.000000000,9223372036854775807,38788217,12280,5,0,1,0,ESZ5
2025-11-13T01:05:43.312012205Z,2025-11-13T01:05:43.311914321Z,24,1,42140878,,6937.750000000,9223372036854775807,38788231,13503,8,0,1,0,ESH6
2025-11-13T01:05:43.358466475Z,2025-11-13T01:05:43.358384359Z,24,1,42140864,,6991.250000000,9223372036854775807,38788247,11442,8,0,1,0,ESM6
2025-11-13T01:05:43.960419807Z,2025-11-13T01:05:43.960014629Z,24,1,294973,,6877.000000000,9223372036854775807,38788420,16677,8,0,1,0,ESZ5
2025-11-13T01:05:44.100362580Z,2025-11-13T01:05:44.100259635Z,24,1,42140864,,6991.500000000,9223372036854775807,38788517,11738,8,0,1,0,ESM6
2025-11-13T01:05:44.191563256Z,2025-11-13T01:05:44.191199889Z,24,1,294973,,6877.250000000,9223372036854775807,38788532,12971,5,0,1,0,ESZ5
2025-11-13T01:05:44.199999332Z,2025-11-13T01:05:44.199899217Z,24,1,42140878,,6938.000000000,9223372036854775807,38788545,13112,8,0,1,0,ESH6
2025-11-13T01:05:44.251333899Z,2025-11-13T01:05:44.251245975Z,24,1,42140864,,6991.750000000,9223372036854775807,38788555,12652,8,0,1,0,ESM6
2025-11-13T01:05:45.991189104Z,2025-11-13T01:05:45.991102397Z,24,1,42140864,,6992.000000000,9223372036854775807,38788994,11459,8,0,1,0,ESM6
2025-11-13T01:05:52.151840459Z,2025-11-13T01:05:52.151524051Z,24,1,294973,,6877.250000000,9223372036854775807,38789676,13305,8,0,1,0,ESZ5
2025-11-13T01:05:54.564216552Z,2025-11-13T01:05:54.564117951Z,24,1,42140878,,6938.250000000,9223372036854775807,38790092,12767,8,0,1,0,ESH6
2025-11-13T01:05:58.910679181Z,2025-11-13T01:05:58.910305695Z,24,1,294973,,6877.500000000,9223372036854775807,38790860,13532,5,0,1,0,ESZ5
2025-11-13T01:05:58.911038348Z,2025-11-13T01:05:58.910774363Z,24,1,294973,,6877.500000000,9223372036854775807,38790870,15690,8,0,1,0,ESZ5
2025-11-13T01:05:58.911604796Z,2025-11-13T01:05:58.911237063Z,24,1,294973,,6878.000000000,9223372036854775807,38790901,13719,5,0,1,0,ESZ5
2025-11-13T01:05:58.911664889Z,2025-11-13T01:05:58.911578825Z,24,1,294973,,6877.750000000,9223372036854775807,38790905,11431,8,0,1,0,ESZ5
2025-11-13T01:05:58.911748258Z,2025-11-13T01:05:58.911594587Z,24,1,42140878,,6938.500000000,9223372036854775807,38790910,11635,8,0,1,0,ESH6
2025-11-13T01:05:58.915487139Z,2025-11-13T01:05:58.915121657Z,24,1,294973,,6878.000000000,9223372036854775807,38790977,11194,8,0,1,0,ESZ5
2025-11-13T01:05:58.925889084Z,2025-11-13T01:05:58.925551835Z,24,1,294973,,6878.250000000,9223372036854775807,38791049,13135,5,0,1,0,ESZ5
2025-11-13T01:05:58.948270547Z,2025-11-13T01:05:58.948155403Z,24,1,42140878,,6938.750000000,9223372036854775807,38791130,13614,8,0,1,0,ESH6
2025-11-13T01:05:58.959561597Z,2025-11-13T01:05:58.959475725Z,24,1,42140864,,6992.250000000,9223372036854775807,38791147,11547,8,0,1,0,ESM6
2025-11-13T01:06:00.904967580Z,2025-11-13T01:06:00.904881039Z,24,1,42140864,,6992.500000000,9223372036854775807,38792208,13267,8,0,1,0,ESM6
2025-11-13T01:06:00.916815463Z,2025-11-13T01:06:00.916729433Z,24,1,294973,,6878.250000000,9223372036854775807,38792231,13083,8,0,1,0,ESZ5
2025-11-13T01:06:00.916918431Z,2025-11-13T01:06:00.916820935Z,24,1,42140878,,6939.000000000,9223372036854775807,38792237,12897,8,0,1,0,ESH6
2025-11-13T01:06:00.964099893Z,2025-11-13T01:06:00.963857023Z,24,1,294973,,6878.500000000,9223372036854775807,38792291,11804,5,0,1,0,ESZ5
2025-11-13T01:06:00.965176296Z,2025-11-13T01:06:00.965087019Z,24,1,294973,,6878.500000000,9223372036854775807,38792312,11781,8,0,1,0,ESZ5
2025-11-13T01:06:01.017252097Z,2025-11-13T01:06:01.016735067Z,24,1,294973,,6879.000000000,9223372036854775807,38792379,14307,5,0,1,0,ESZ5
2025-11-13T01:06:01.017323302Z,2025-11-13T01:06:01.017133565Z,24,1,42140864,,6992.750000000,9223372036854775807,38792385,12492,8,0,1,0,ESM6
2025-11-13T01:06:01.017339406Z,2025-11-13T01:06:01.017175151Z,24,1,294973,,6878.750000000,9223372036854775807,38792386,14410,8,0,1,0,ESZ5
2025-11-13T01:06:01.017369451Z,2025-11-13T01:06:01.017227705Z,24,1,42140878,,6939.500000000,9223372036854775807,38792388,12546,8,0,1,0,ESH6
2025-11-13T01:06:01.108511851Z,2025-11-13T01:06:01.108427467Z,24,1,42140864,,6993.000000000,9223372036854775807,38792483,11389,8,0,1,0,ESM6
