ts_recv,ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,trading_reference_price,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,trading_reference_date,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,md_security_trading_status,main_fraction,price_display_format,settl_price_type,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,symbol
2025-11-13 00:00:00+00:00,2025-11-09 12:01:42.994000+00:00,19,1,42466960,ESM7 C4000,A,C,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,3076.25,50.0,0.0,,270339,42140856,42466960,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESM7,USD,4000.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 C4000
2025-11-13 00:00:00+00:00,2025-11-09 12:01:43.644000+00:00,19,1,42466967,ESM7 P5500,A,P,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,217.75,50.0,0.0,,270339,42140856,42466967,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OPAFPS,OOF,IPNT,ESM7,USD,5500.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 P5500
2025-11-13 00:00:00+00:00,2025-11-09 12:01:41.594000+00:00,19,1,42466965,ESM7 P4700,A,P,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,120.5,50.0,0.0,,270339,42140856,42466965,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OPAFPS,OOF,IPNT,ESM7,USD,4700.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 P4700
2025-11-13 00:00:00+00:00,2025-11-09 12:01:40.094000+00:00,19,1,42466979,ESM7 P6400,A,P,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,400.75,50.0,0.0,,270339,42140856,42466979,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OPAFPS,OOF,IPNT,ESM7,USD,6400.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 P6400
2025-11-13 00:00:00+00:00,2025-11-09 12:01:38.244000+00:00,19,1,42466975,ESM7 P5400,A,P,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,202.75,50.0,0.0,,270339,42140856,42466975,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OPAFPS,OOF,IPNT,ESM7,USD,5400.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 P5400
2025-11-13 00:00:00+00:00,2025-11-09 12:01:44.144000+00:00,19,1,42466996,ESM7 P6700,A,P,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,484.75,50.0,0.0,,270339,42140856,42466996,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OPAFPS,OOF,IPNT,ESM7,USD,6700.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 P6700
2025-11-13 00:00:00+00:00,2025-11-09 12:01:44.394000+00:00,19,1,42466994,ESM7 P6500,A,P,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,427.25,50.0,0.0,,270339,42140856,42466994,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OPAFPS,OOF,IPNT,ESM7,USD,6500.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 P6500
2025-11-13 00:00:00+00:00,2025-11-09 12:01:44.394000+00:00,19,1,42466995,ESM7 P6450,A,P,,0.01,2027-06-17 13:30:00+00:00,2025-06-20 20:25:00+00:00,,0.05,,413.75,50.0,0.0,,270339,42140856,42466995,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OPAFPS,OOF,IPNT,ESM7,USD,6450.0,F,255,255,255,3,255,5,6,255,255,N,127,127,15,ESM7 P6450
2025-11-13 00:00:00+00:00,2025-11-09 12:01:37.894000+00:00,19,1,42598063,ESH7 P3500,A,P,,0.01,2027-03-19 13:30:00+00:00,2025-03-21 20:25:00+00:00,,0.05,,40.5,50.0,0.0,,270339,42140860,42598063,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OPAFPS,OOF,IPNT,ESH7,USD,3500.0,F,255,255,255,3,255,5,3,255,255,N,127,127,15,ESH7 P3500
2025-11-13 00:00:00+00:00,2025-11-09 12:01:42.544000+00:00,19,1,327567,ESZ7 C1800,A,C,,0.01,2027-12-17 14:30:00+00:00,2022-09-16 20:25:00+00:00,,0.05,,5371.75,50.0,0.0,,270339,17740,327567,0,3,54,3000,0,0,0,1,2147483647,2147483647,2147483647,20399,311,2027,65535,1,USD,,,EW,XCME,ES,OCAFPS,OOF,IPNT,ESZ7,USD,1800.0,F,255,255,255,3,255,5,12,255,255,N,127,127,15,ESZ7 C1800
